src,dst,edge_betweenness,median_delay,pct_delayed,trip_volume
IND521225AAB,IND521301AAA,0.0009983508957382005,1.641402715,1.0,13
IND786001AAB,IND786184AAA,0.0009975572940722718,2.25,1.0,7
IND173025AAA,IND160002AAC,0.0009983508957382005,2.161991585,1.0,8
IND444203AAA,IND444005AAB,0.0009983508957382005,2.3692810455,1.0,5
IND733140AAA,IND733102AAA,0.0009983508957382005,2.0,1.0,6
IND788806AAA,IND788026AAC,0.0009983508957382005,3.7279411765,1.0,8
IND134102AAA,IND174103AAA,0.0009983508957382005,2.785714286,1.0,11
IND274304AAB,IND274301AAB,0.0009983508957382005,2.2647058825000004,1.0,8
IND608001AAA,IND609110AAA,0.0009975572940722718,2.733333333,1.0,7
IND341503AAB,IND341510AAB,0.0009975572940722718,2.1134615385,1.0,7
IND583119AAA,IND583101AAA,0.0009975572940722718,2.959230769,1.0,7
IND532440AAA,IND532001AAB,0.0009983508957382005,1.5549450545,1.0,11
IND688009AAA,IND686028AAB,0.0009975572940722718,2.25,1.0,8
IND742121AAA,IND742101AAC,0.000996763692406343,3.2,1.0,5
IND571124AAA,IND570020AAA,0.000996763692406343,3.5,1.0,7
IND403726AAA,IND581303AAA,0.000996763692406343,1.636363636,1.0,13
IND301001AAB,IND321001AAB,0.000996763692406343,1.7,1.0,8
IND563131AAB,IND563116AAA,0.000996763692406343,1.763888889,1.0,12
IND575004AAB,IND574117AAA,0.0009959700907404146,2.7592592595000003,1.0,5
IND741123AAB,IND741126AAB,0.0009959700907404146,2.473684211,1.0,11
IND731204AAB,IND731301AAA,0.0009983508957382005,2.428571429,1.0,11
IND723101AAA,IND723202AAA,0.0009983508957382005,1.714285714,1.0,13
IND211002AAB,IND211011AAA,0.0009983508957382005,4.625,1.0,7
IND384205AAA,IND384355AAB,0.0009983508957382005,1.7430555554999998,1.0,8
IND509103AAC,IND518002AAA,0.0009983508957382005,1.941520468,1.0,5
IND571301AAA,IND571111AAB,0.0009983508957382005,2.0,1.0,6
IND509358AAA,IND509324AAA,0.0009983508957382005,1.6228070175,1.0,7
IND632006AAA,IND632301AAA,0.0009983508957382005,2.4,1.0,10
IND303002AAA,IND302014AAA,0.0009983508957382005,1.727272727,1.0,7
IND515865AAB,IND515761AAA,0.0009983508957382005,1.6861538459999998,1.0,13
IND607106AAA,IND607801AAA,0.0009983508957382005,2.2,1.0,12
IND507303AAA,IND507002AAA,0.0009983508957382005,2.46875,1.0,11
IND845455AAB,IND842001AAA,0.0009983508957382005,2.166666667,1.0,11
IND462022AAA,IND465669AAB,0.0009983508957382005,2.0357142855,1.0,10
IND477001AAB,IND474003AAA,0.0009983508957382005,2.75,1.0,6
IND534001AAA,IND521333AAA,0.0009983508957382005,1.807692308,1.0,10
IND842003AAB,IND483501AAA,0.0009983508957382005,2.3208333335,1.0,8
IND474003AAA,IND476111AAA,0.0009983508957382005,2.588235294,1.0,6
IND580028AAA,IND590016AAA,0.0009983508957382005,1.875,1.0,7
IND174001AAA,IND175018AAA,0.0009983508957382005,2.5669515670000003,1.0,10
IND854326AAB,IND852131AAA,0.0009983508957382005,1.823529412,1.0,7
IND585401AAA,IND502286AAB,0.0009943828874085573,1.980769231,1.0,15
IND431515AAA,IND431517AAB,0.0009943828874085573,2.933333333,1.0,13
IND741156AAA,IND742102AAB,0.0009943828874085573,2.333333333,1.0,6
IND395023AAA,IND396191AAC,4.523529495793118e-05,1.8469785575,1.0,10
IND625008AAA,IND626123AAA,3.729927829864501e-05,2.0,1.0,12
IND624202AAA,IND625218AAA,2.0633643314144045e-05,1.52173913,1.0,8
IND416012AAA,IND415003AAA,2.0633643314144045e-05,1.8,1.0,8
IND621802AAA,IND608301AAA,1.9840041648215428e-05,2.555555556,1.0,9
IND342005AAD,IND342601AAA,1.9840041648215428e-05,2.0,1.0,6
IND626123AAA,IND627756AAA,1.9840041648215428e-05,1.5429975429999998,1.0,12
IND400072AAB,IND400015AAA,1.904643998228681e-05,2.933333333,1.0,37
IND625516AAA,IND685514AAA,1.904643998228681e-05,1.8125,1.0,5
IND574211AAA,IND574202AAA,1.8252838316358196e-05,2.473684211,1.0,5
IND144001AAC,IND000000ACA,1.745923665042958e-05,1.8125,1.0,9
IND362001AAA,IND360370AAA,1.666563498450096e-05,2.25,1.0,8
IND574227AAA,IND574104AAA,1.5872033318572344e-05,1.833333333,1.0,9
IND451666AAA,IND424006AAA,1.428482998671511e-05,2.444444444,1.0,7
IND302014AAB,IND302026AAA,1.3491228320786492e-05,1.846153846,1.0,13
IND000000AAS,IND783370AAC,1.2697626654857875e-05,1.8333333335,1.0,9
IND641607AAA,IND641654AAA,1.2697626654857875e-05,2.0,1.0,7
IND396321AAA,IND396001AAA,1.0316821657072023e-05,1.4,1.0,6
IND630561AAA,IND623407AAA,3.809287996457362e-05,1.833333333,1.0,11
IND485001AAC,IND471001AAA,4.8409701621645646e-05,2.117647059,1.0,7
IND603102AAA,IND600056AAB,0.0009920020824107714,1.88,1.0,12
IND202001AAB,IND205001AAB,4.999690495350288e-05,2.588235294,1.0,8
IND382715AAA,IND382430AAB,0.0009912084807448427,1.875598086,1.0,12
IND506143AAA,IND506167AAB,0.0009904148790789143,1.764705882,1.0,9
IND125001AAA,IND125047AAB,0.0009896212774129856,1.9423076925,1.0,6
IND421302AAG,IND400701AAB,0.0009896212774129856,2.2792207795,1.0,14
IND486771AAA,IND486661AAA,0.000986446870749271,1.6875,1.0,6
IND574104AAA,IND574216AAA,0.0009856532690833426,2.0,1.0,10
IND574202AAA,IND574239AAA,0.0009832724640855568,1.625,1.0,6
IND400016AAB,IND400072AAD,0.0009483539907846975,3.0384615385,1.0,10
IND825301AAA,IND825409AAA,0.0008570897992029066,3.09375,1.0,8
IND110037AAM,IND201301AAF,0.000829313740895405,1.909090909,1.0,5
IND508213AAB,IND508001AAA,0.0005872652327871767,1.7291666664999998,1.0,14
IND632006AAA,IND632402AAA,0.0005102858711921009,2.761904762,1.0,7
IND403726AAA,IND403702AAA,0.0004245768912718102,1.7430769229999998,1.0,8
IND573201AAB,IND575004AAB,0.00020633643314144046,2.285714286,1.0,14
IND110037AAM,IND110024AAA,0.00015078431652643727,2.533333333,1.0,11
IND580028AAA,IND403726AAA,0.000101581013238863,2.235294118,1.0,13
IND630561AAA,IND623701AAA,7.301135326543279e-05,1.4039855075,1.0,5
IND761200AAA,IND532001AAB,0.0009983508957382005,2.142857143,1.0,7
IND582209AAA,IND582101AAB,0.0009983508957382005,1.923076923,1.0,11
IND389151AAA,IND457661AAA,0.0009999380990700576,2.7763975155000002,1.0,8
IND712311AAA,IND700028AAB,0.0009999380990700576,2.657142857,1.0,22
IND562159AAA,IND562117AAA,0.0009999380990700576,1.9148550725,1.0,11
IND560067AAC,IND562114AAA,0.0009999380990700576,2.75,1.0,17
IND121004AAB,IND121004AAC,0.0009999380990700576,1.9,1.0,9
IND249407AAA,IND246149AAA,0.0009999380990700576,2.183880309,1.0,13
IND131028AAB,IND247667AAB,0.0009999380990700576,1.75,1.0,10
IND380021AAA,IND382430AAB,0.0009999380990700576,2.2,1.0,19
IND380006AAB,IND382430AAB,0.0009999380990700576,2.8035714284999997,1.0,15
IND249407AAA,IND249201AAA,0.0009999380990700576,2.038461538,1.0,11
IND136027AAA,IND132039AAA,0.0009999380990700576,2.0,1.0,14
IND842001AAA,IND846004AAA,0.0009983508957382005,2.380952381,1.0,15
IND834002AAB,IND832109AAB,0.0009999380990700576,2.375,1.0,9
IND462022AAA,IND462011AAA,0.0009999380990700576,2.5,1.0,19
IND000000AFR,IND683511AAA,0.0009999380990700576,1.95,1.0,6
IND110024AAA,IND110014AAA,0.0009999380990700576,1.7738095235,1.0,9
IND174021AAA,IND176048AAA,0.0009999380990700576,2.133333333,1.0,11
IND177001AAA,IND176110AAB,0.0009999380990700576,1.80952381,1.0,7
IND382430AAB,IND382345AAA,0.0009999380990700576,2.0,1.0,23
IND688524AAA,IND683511AAA,0.0009999380990700576,2.2,1.0,7
IND571104AAA,IND577598AAB,0.0009999380990700576,1.95,1.0,11
IND571105AAA,IND571213AAA,0.0009999380990700576,1.679028133,1.0,8
IND431001AAB,IND431136AAC,0.0009999380990700576,2.666666667,1.0,10
IND444602AAA,IND444005AAB,0.0009999380990700576,2.0294117645,1.0,14
IND401104AAA,IND401208AAA,0.0009999380990700576,2.363636364,1.0,23
IND000000AAL,IND411033AAA,0.0009999380990700576,2.166666667,1.0,14
IND721306AAA,IND721507AAA,0.0009999380990700576,2.0,1.0,10
IND673573AAA,IND673592AAA,0.0009999380990700576,1.6782352939999998,1.0,12
IND636352AAA,IND636705AAB,0.0009999380990700576,1.6,1.0,5
IND828401AAB,IND826004AAA,0.0009999380990700576,2.3095238095,1.0,6
IND792130AAB,IND786001AAB,0.0009999380990700576,3.0,1.0,9
IND848114AAA,IND848210AAA,0.0009999380990700576,1.708333333,1.0,15
IND848101AAA,IND844505AAB,0.0009999380990700576,3.444444444,1.0,11
IND843320AAA,IND847223AAA,0.0009999380990700576,2.15,1.0,7
IND786181AAC,IND792121AAB,0.0009999380990700576,2.875,1.0,7
IND786181AAC,IND792120AAB,0.0009999380990700576,4.5,1.0,7
IND781014AAA,IND781124AAA,0.0009999380990700576,2.166666667,1.0,5
IND503122AAA,IND502110AAA,0.0009999380990700576,1.578817734,1.0,14
IND500055AAC,IND501401AAC,0.0009999380990700576,1.75,1.0,9
IND500008AAF,IND500039AAC,0.0009999380990700576,2.7666666665,1.0,13
IND423105AAA,IND423301AAB,0.0009999380990700576,1.381818182,1.0,5
IND382430AAB,IND380054AAA,0.0009999380990700576,1.923076923,1.0,26
IND473226AAA,IND473001AAA,0.000999144497404129,1.4396551725,1.0,8
IND160002AAC,IND147101AAA,0.000999144497404129,2.19047619,1.0,7
IND246763AAA,IND246761AAA,0.000999144497404129,2.4092105265,1.0,11
IND507002AAA,IND508206AAA,0.000999144497404129,1.9210526315,1.0,11
IND142026AAA,IND141109AAA,0.000999144497404129,1.379761905,1.0,12
IND243503AAB,IND244901AAB,0.000999144497404129,2.111111111,1.0,7
IND205001AAB,IND205135AAA,0.000999144497404129,2.095238095,1.0,7
IND201306AAA,IND201301AAF,0.000999144497404129,2.0412087915,1.0,7
IND242221AAA,IND207247AAB,0.000999144497404129,2.322580645,1.0,5
IND201301AAF,IND201304AAA,0.000999144497404129,1.6145833335000002,1.0,12
IND583231AAA,IND583201AAA,0.000999144497404129,2.5,1.0,10
IND132103AAB,IND131028AAB,0.000999144497404129,1.8214285714999998,1.0,5
IND802213AAB,IND802212AAA,0.000999144497404129,3.5,1.0,5
IND788151AAA,IND788713AAA,0.000999144497404129,2.666666667,1.0,12
IND532001AAB,IND532421AAA,0.000999144497404129,1.789473684,1.0,13
IND742148AAA,IND742225AAA,0.000999144497404129,4.0,1.0,9
IND505467AAA,IND505122AAA,0.000999144497404129,1.477582846,1.0,7
IND462022AAA,IND466001AAA,0.000999144497404129,2.384615385,1.0,8
IND277303AAC,IND277211AAA,0.000999144497404129,1.4472727275000001,1.0,6
IND523002AAA,IND523230AAA,0.0009983508957382005,1.567251462,1.0,14
IND508248AAB,IND508377AAB,0.000999144497404129,1.785714286,1.0,11
IND246725AAB,IND246701AAA,0.000999144497404129,1.574074074,1.0,7
IND458990AAA,IND312605AAB,0.000999144497404129,1.590909091,1.0,5
IND144001AAA,IND144040AAA,0.000999144497404129,1.75,1.0,11
IND731237AAB,IND731224AAA,0.000999144497404129,3.375,1.0,9
IND713205AAB,IND713303AAA,0.000999144497404129,1.823529412,1.0,5
IND631003AAA,IND600056AAB,0.000999144497404129,2.1,1.0,5
IND695121AAA,IND695572AAB,0.000999144497404129,1.846153846,1.0,11
IND712311AAA,IND700065AAA,0.000999144497404129,3.2875,1.0,28
IND388320AAA,IND387001AAA,0.000999144497404129,1.8166666665,1.0,6
IND414502AAA,IND431107AAB,0.000999144497404129,1.576923077,1.0,7
IND712103AAA,IND712310AAE,0.000999144497404129,2.727272727,1.0,18
IND415605AAA,IND415709AAA,0.000999144497404129,2.048809524,1.0,11
IND847226AAA,IND842001AAA,0.000999144497404129,1.912878788,1.0,14
IND431122AAA,IND431127AAA,0.000999144497404129,2.1213235294999997,1.0,7
IND842001AAA,IND843109AAB,0.000999144497404129,3.6428571425,1.0,11
IND712310AAE,IND712124AAA,0.000999144497404129,3.2,1.0,21
IND842001AAA,IND847212AAA,0.000999144497404129,1.875,1.0,15
IND600056AAB,IND631501AAA,0.000999144497404129,2.173611111,1.0,6
IND518401AAA,IND518422AAB,0.000999144497404129,2.111111111,1.0,6
IND515301AAA,IND561202AAB,0.000999144497404129,1.8166666665,1.0,12
IND515134AAA,IND515591AAA,9.523219991143405e-06,1.5218487395,1.0,6
IND486886AAA,IND486889AAA,9.523219991143405e-06,2.4,1.0,7
IND506002AAA,IND506143AAA,9.523219991143405e-06,1.9411764704999999,1.0,10
IND587103AAB,IND582209AAA,1.5872033318572343e-06,1.8811764704999998,1.0,12
IND586128AAA,IND586211AAA,1.5872033318572343e-06,1.625,1.0,9
IND518124AAA,IND518206AAA,1.5872033318572343e-06,1.65,1.0,6
IND632301AAA,IND606803AAA,1.5872033318572343e-06,2.15,1.0,9
IND509324AAA,IND508248AAB,1.5872033318572343e-06,2.1525735294999997,1.0,7
IND515401AAB,IND515801AAA,1.5872033318572343e-06,2.5,1.0,14
IND516101AAA,IND516115AAA,1.5872033318572343e-06,2.333333333,1.0,12
IND517644AAA,IND524132AAA,1.5872033318572343e-06,2.134502924,1.0,11
IND533201AAA,IND533262AAA,1.5872033318572343e-06,2.75,1.0,6
IND581115AAC,IND581110AAE,1.5872033318572343e-06,1.666666667,1.0,13
IND362265AAA,IND362720AAA,9.523219991143405e-06,2.267857143,1.0,11
IND416510AAA,IND416602AAC,1.5872033318572343e-06,2.506265664,1.0,6
IND700065AAB,IND712310AAA,1.5872033318572343e-06,4.307692308,1.0,11
IND700136AAG,IND712310AAA,1.5872033318572343e-06,4.277777778,1.0,15
IND515201AAA,IND515301AAA,7.936016659286172e-07,2.285714286,1.0,11
IND205135AAA,IND283203AAA,7.936016659286172e-07,2.2134502925,1.0,8
IND508277AAB,IND508223AAA,7.936016659286172e-07,1.384615385,1.0,7
IND602024AAA,IND602001AAA,7.936016659286172e-07,2.6607142855,1.0,6
IND244301AAA,IND244412AAA,7.936016659286172e-07,1.607142857,1.0,8
IND532201AAA,IND532222AAA,1.5872033318572343e-06,1.9545454544999998,1.0,14
IND531163AAA,IND535001AAA,1.5872033318572343e-06,2.25,1.0,9
IND425201AAA,IND425508AAB,1.5872033318572343e-06,2.05,1.0,5
IND441206AAB,IND442605AAA,1.5872033318572343e-06,2.166666667,1.0,5
IND846004AAA,IND847103AAA,1.5872033318572343e-06,2.333333333,1.0,15
IND713148AAA,IND713128AAB,1.5872033318572343e-06,2.888888889,1.0,10
IND144514AAA,IND141115AAA,1.5872033318572343e-06,1.75,1.0,5
IND713130AAA,IND741123AAB,1.5872033318572343e-06,2.181818182,1.0,10
IND135001AAA,IND173025AAA,1.5872033318572343e-06,2.16,1.0,9
IND201204AAA,IND250002AAA,1.5872033318572343e-06,1.761904762,1.0,5
IND175018AAA,IND175001AAA,1.5872033318572343e-06,3.117647059,1.0,9
IND140301AAA,IND140901AAA,1.5872033318572343e-06,1.928571429,1.0,12
IND713128AAB,IND731204AAB,1.5872033318572343e-06,2.8,1.0,11
IND145001AAA,IND176201AAA,1.5872033318572343e-06,1.6577380955,1.0,6
IND244713AAA,IND263401AAA,1.5872033318572343e-06,2.0,1.0,11
IND211011AAA,IND212501AAA,1.5872033318572343e-06,3.45,1.0,8
IND843301AAA,IND843320AAA,1.5872033318572343e-06,1.48,1.0,13
IND263645AAA,IND263601AAA,1.5872033318572343e-06,2.039215686,1.0,11
IND521301AAA,IND521001AAA,1.5872033318572343e-06,2.173611111,1.0,13
IND637301AAA,IND638001AAA,1.5872033318572343e-06,1.8529411765,1.0,10
IND442101AAB,IND445001AAB,1.5872033318572343e-06,2.117647059,1.0,11
IND243001AAA,IND243503AAB,7.936016659286172e-07,2.0,1.0,9
IND631501AAA,IND631003AAA,7.936016659286172e-07,2.142857143,1.0,5
IND852113AAA,IND852139AAB,7.936016659286172e-07,2.9208333335,1.0,13
IND401501AAA,IND401602AAA,7.936016659286172e-07,2.333333333,1.0,10
IND712124AAA,IND712103AAA,7.936016659286172e-07,2.95,1.0,20
IND743513AAA,IND743347AAA,7.936016659286172e-07,1.763888889,1.0,8
IND425409AAA,IND425406AAA,7.936016659286172e-07,2.277777778,1.0,6
IND492001AAB,IND492007AAA,7.936016659286172e-07,2.8409090910000003,1.0,6
IND141003AAB,IND142026AAA,7.936016659286172e-07,1.626984127,1.0,15
IND271201AAA,IND271210AAA,7.936016659286172e-07,2.142857143,1.0,6
IND271001AAA,IND271201AAA,7.936016659286172e-07,2.3095238095,1.0,5
IND509358AAA,IND508248AAB,7.936016659286172e-07,2.176470588,1.0,5
IND246444AAB,IND246424AAA,7.936016659286172e-07,1.409090909,1.0,11
IND441614AAA,IND481001AAA,7.936016659286172e-07,2.1875,1.0,9
IND627811AAA,IND627401AAA,7.936016659286172e-07,1.5683229810000001,1.0,6
IND627117AAA,IND629001AAA,7.936016659286172e-07,1.825925926,1.0,11
IND473001AAA,IND473331AAA,7.936016659286172e-07,1.96875,1.0,8
IND843329AAB,IND843301AAA,0.0,3.315789474,1.0,7
IND686507AAA,IND686513AAA,0.0,2.409722222,1.0,10
IND713205AAB,IND722143AAB,0.0,3.72,1.0,8
IND721102AAA,IND712311AAA,0.0,8.247311828,1.0,8
IND402107AAA,IND402109AAA,7.936016659286172e-07,2.111111111,1.0,11
IND387001AAA,IND388220AAA,7.936016659286172e-07,1.732142857,1.0,9
IND854105AAB,IND853204AAA,7.936016659286172e-07,2.764705882,1.0,5
IND722101AAA,IND722122AAA,7.936016659286172e-07,1.886904762,1.0,7
IND841424AAA,IND841428AAA,7.936016659286172e-07,2.6076923075,1.0,6
IND812002AAA,IND813203AAA,7.936016659286172e-07,3.0208333334999997,1.0,12
IND813102AAA,IND812002AAA,7.936016659286172e-07,2.055072464,1.0,12
IND845418AAB,IND845438AAA,7.936016659286172e-07,2.196969697,1.0,6
IND147101AAA,IND147105AAA,7.936016659286172e-07,1.428571429,1.0,6
IND533003AAA,IND533401AAA,7.936016659286172e-07,1.9023809525,1.0,12
IND788713AAA,IND788806AAA,7.936016659286172e-07,2.923076923,1.0,10
IND802101AAA,IND802119AAA,7.936016659286172e-07,2.538461538,1.0,10
IND518422AAB,IND518102AAA,7.936016659286172e-07,2.037847222,1.0,10
IND821109AAA,IND802213AAB,7.936016659286172e-07,5.1875,1.0,8
IND173212AAA,IND173220AAA,7.936016659286172e-07,3.307692308,1.0,5
IND210001AAA,IND210427AAA,7.936016659286172e-07,3.733333333,1.0,9
IND845438AAA,IND845455AAB,7.936016659286172e-07,1.962962963,1.0,12
IND140901AAA,IND160055AAA,7.936016659286172e-07,2.0,1.0,13
IND423109AAA,IND423601AAA,7.936016659286172e-07,2.25,1.0,10
IND673121AAA,IND670645AAB,7.936016659286172e-07,2.278846154,1.0,8
IND713303AAA,IND713364AAB,7.936016659286172e-07,4.166666666499999,1.0,6
IND845401AAA,IND845305AAA,1.5872033318572343e-06,2.676470588,1.0,15
IND723131AAA,IND722140AAA,1.5872033318572343e-06,1.3331653225,1.0,6
IND853204AAA,IND851204AAA,1.5872033318572343e-06,2.055555556,1.0,11
IND628801AAA,IND628204AAA,6.348813327428937e-06,1.472222222,1.0,12
IND517501AAB,IND517583AAA,6.348813327428937e-06,2.181818182,1.0,13
IND395023AAD,IND395004AAB,6.348813327428937e-06,2.05,1.0,10
IND125047AAB,IND125051AAA,6.348813327428937e-06,1.8107142855,1.0,8
IND342005AAD,IND342902AAA,5.55521166150032e-06,2.071428571,1.0,5
IND609110AAA,IND609602AAA,5.55521166150032e-06,1.9736842105,1.0,7
IND742303AAB,IND741165AAB,4.7616099955717026e-06,2.785714286,1.0,12
IND262701AAA,IND262802AAA,4.7616099955717026e-06,2.267857143,1.0,14
IND261001AAA,IND262701AAA,4.7616099955717026e-06,1.826086957,1.0,14
IND509124AAA,IND509103AAB,4.7616099955717026e-06,1.9069264069999998,1.0,8
IND231208AAA,IND231217AAA,4.7616099955717026e-06,1.8070652175,1.0,6
IND517583AAA,IND516101AAA,4.7616099955717026e-06,2.25,1.0,13
IND524132AAA,IND524101AAB,4.7616099955717026e-06,1.5742753619999998,1.0,11
IND361001AAA,IND361305AAC,4.7616099955717026e-06,1.666666667,1.0,9
IND413501AAA,IND413401AAA,4.7616099955717026e-06,1.384615385,1.0,14
IND571111AAB,IND571313AAB,4.7616099955717026e-06,1.6515151515,1.0,7
IND143001AAA,IND144001AAB,3.968008329643086e-06,1.875,1.0,14
IND614602AAA,IND614804AAA,3.968008329643086e-06,1.5,1.0,11
IND627005AAA,IND627117AAA,6.348813327428937e-06,1.589473684,1.0,11
IND627401AAA,IND627005AAA,6.348813327428937e-06,1.962962963,1.0,10
IND422605AAA,IND413709AAA,3.968008329643086e-06,1.75,1.0,7
IND804420AAA,IND803101AAA,6.348813327428937e-06,2.533333333,1.0,11
IND361315AAA,IND361335AAA,9.523219991143405e-06,1.606617647,1.0,9
IND231225AAB,IND486886AAA,9.523219991143405e-06,1.62962963,1.0,7
IND201007AAB,IND201301AAF,8.72961832521479e-06,2.933333333,1.0,5
IND360490AAA,IND362001AAA,8.72961832521479e-06,2.2242424245,1.0,7
IND335001AAA,IND125104AAA,8.72961832521479e-06,1.595238095,1.0,6
IND515591AAA,IND516269AAA,8.72961832521479e-06,1.594117647,1.0,8
IND361305AAC,IND361315AAA,7.936016659286172e-06,1.6318681315,1.0,8
IND110044AAB,IND201007AAA,7.936016659286172e-06,2.375,1.0,11
IND742102AAB,IND731237AAB,7.936016659286172e-06,2.8194444445,1.0,5
IND231217AAA,IND231225AAB,7.936016659286172e-06,2.4246031745,1.0,7
IND741156AAA,IND742101AAC,7.142414993357555e-06,2.5227272725,1.0,8
IND401209AAB,IND401104AAA,7.142414993357555e-06,2.3541666665000003,1.0,8
IND614616AAA,IND630002AAA,7.142414993357555e-06,1.515151515,1.0,11
IND585330AAE,IND585401AAA,7.142414993357555e-06,1.781746032,1.0,15
IND629179AAA,IND627005AAA,7.142414993357555e-06,2.093023256,1.0,11
IND803101AAA,IND805110AAD,7.142414993357555e-06,2.342857143,1.0,9
IND805110AAD,IND803116AAA,6.348813327428937e-06,2.333333333,1.0,9
IND691574AAA,IND695614AAA,3.968008329643086e-06,1.5,1.0,14
IND311001AAA,IND313324AAA,3.968008329643086e-06,1.846153846,1.0,5
IND801103AAA,IND802301AAA,1.5872033318572343e-06,2.666666667,1.0,11
IND396445AAA,IND396321AAA,2.3808049977858513e-06,1.6666666665,1.0,6
IND742121AAA,IND742102AAB,2.3808049977858513e-06,3.285714286,1.0,5
IND854311AAA,IND854334AAA,2.3808049977858513e-06,1.777777778,1.0,7
IND691305AAA,IND689645AAA,2.3808049977858513e-06,2.363636364,1.0,11
IND431127AAA,IND414502AAA,2.3808049977858513e-06,2.095238095,1.0,7
IND461111AAA,IND460001AAA,2.3808049977858513e-06,1.888888889,1.0,13
IND583201AAA,IND583119AAA,2.3808049977858513e-06,2.25,1.0,7
IND480334AAA,IND480106AAA,2.3808049977858513e-06,1.4907407405000002,1.0,14
IND246701AAA,IND246763AAA,2.3808049977858513e-06,1.833333333,1.0,9
IND614018AAA,IND613104AAA,2.3808049977858513e-06,1.7490196075,1.0,10
IND786171AAA,IND786181AAC,2.3808049977858513e-06,2.125,1.0,6
IND523226AAA,IND523316AAB,2.3808049977858513e-06,2.0,1.0,6
IND602001AAB,IND609001AAA,2.3808049977858513e-06,2.210526316,1.0,11
IND627756AAA,IND626117AAA,2.3808049977858513e-06,1.7207792204999999,1.0,12
IND742121AAB,IND742121AAA,2.3808049977858513e-06,3.3,1.0,9
IND786125AAA,IND786190AAA,1.5872033318572343e-06,2.333333333,1.0,5
IND250611AAA,IND247776AAA,1.5872033318572343e-06,1.955627706,1.0,8
IND385001AAA,IND385535AAA,1.5872033318572343e-06,1.6,1.0,10
IND363421AAB,IND364710AAA,2.3808049977858513e-06,1.9023809525,1.0,9
IND679303AAA,IND679531AAA,2.3808049977858513e-06,2.732142857,1.0,9
IND251001AAA,IND247554AAA,3.968008329643086e-06,1.6442687745,1.0,10
IND247667AAA,IND249407AAA,2.3808049977858513e-06,1.9285714285,1.0,10
IND803116AAA,IND803108AAB,3.968008329643086e-06,2.4142857145,1.0,13
IND731224AAA,IND742147AAA,3.968008329643086e-06,2.1818181819999998,1.0,8
IND395023AAD,IND396445AAA,3.968008329643086e-06,1.8174603175,1.0,6
IND804452AAA,IND804420AAA,3.968008329643086e-06,2.962121212,1.0,6
IND583101AAA,IND577535AAC,3.968008329643086e-06,1.833333333,1.0,10
IND261201AAB,IND261001AAA,3.1744066637144687e-06,1.562878788,1.0,13
IND503187AAA,IND503122AAA,3.1744066637144687e-06,1.5951086955,1.0,15
IND501359AAG,IND000000ACN,3.1744066637144687e-06,2.4772727275,1.0,6
IND262802AAA,IND262723AAB,3.1744066637144687e-06,2.297297297,1.0,15
IND680587AAA,IND68004AAA,3.1744066637144687e-06,1.785714286,1.0,6
IND736135AAA,IND736101AAA,3.1744066637144687e-06,2.0890269155,1.0,6
IND517501AAB,IND517644AAA,3.1744066637144687e-06,2.4142156865,1.0,12
IND577101AAA,IND577132AAD,3.1744066637144687e-06,2.15,1.0,5
IND516115AAA,IND517501AAB,3.1744066637144687e-06,2.4365079365,1.0,11
IND609001AAA,IND614018AAA,3.1744066637144687e-06,1.982142857,1.0,12
IND577501AAA,IND577002AAA,3.1744066637144687e-06,1.698529412,1.0,10
IND736135AAA,IND736165AAA,3.1744066637144687e-06,2.4691666665,1.0,5
IND400072AAC,IND400011AAA,0.0009999380990700576,2.7333333335,1.0,12
IND580028AAA,IND580002AAA,0.0,3.238095238,1.0,5
IND175015AAA,IND174001AAA,0.002995052687214601,1.868421053,1.0,13
IND431603AAA,IND431708AAA,0.002000669799806044,1.9393382355,1.0,14
IND607001AAA,IND608001AAA,0.001994320986478615,1.8666666665,1.0,10
IND842001AAA,IND848114AAA,0.0019951145881445436,2.03125,1.0,14
IND854334AAA,IND852118AAA,0.0019951145881445436,1.333333333,1.0,7
IND851127AAA,IND842001AAA,0.0019951145881445436,3.4,1.0,13
IND160002AAC,IND147001AAD,0.003980705956297944,1.9166666664999998,1.0,7
IND605601AAA,IND607106AAA,0.0019951145881445436,1.9615384615,1.0,12
IND573116AAA,IND571432AAB,0.0019951145881445436,1.6833333335,1.0,7
IND577598AAB,IND573142AAA,0.0019951145881445436,1.964285714,1.0,11
IND273014AAB,IND277303AAC,0.0019959081898104723,2.0627450979999997,1.0,14
IND572101AAA,IND561203AAB,0.0019951145881445436,1.7888888889999999,1.0,8
IND515671AAA,IND515134AAA,0.003980705956297944,1.5,1.0,7
IND501359AAE,IND500008AAC,0.001998288994808258,1.5505050505,1.0,14
IND562114AAA,IND560048AAB,0.001998288994808258,2.7857142855,1.0,8
IND842003AAB,IND480886AAA,0.0019951145881445436,2.190909091,1.0,7
IND505001AAB,IND504208AAB,0.0019951145881445436,1.4,1.0,5
IND305601AAC,IND305001AAC,0.003980705956297944,1.9852941175,1.0,13
IND305001AAC,IND305802AAA,0.001994320986478615,2.2412280705,1.0,6
IND274001AAA,IND274509AAB,0.001994320986478615,2.0,1.0,8
IND781018AAB,IND781354AAA,0.003977531549634229,1.6862318840000001,1.0,8
IND341303AAA,IND341306AAA,0.003954517101322299,1.71875,1.0,8
IND712311AAA,IND713205AAB,0.018711540079264937,1.8819444445,1.0,7
