hub_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
IND000000AAL,-0.35824215,-0.416623,0.15822677,0.07851441,0.093521684,0.20392057,-0.27955416,0.41064137,-0.14718969,-0.13347864,0.030925054,-0.15873393,0.21558316,0.01127585,0.06721087,-0.2633159,-0.08737284,-0.21660493,0.0022729784,-0.17291974,-0.02215197,-0.22988231,0.23867401,0.17405011,-0.06679964,0.02653163,0.17610191,0.14504251,0.25708044,0.1577963,-0.5676514,0.14684032
IND411033AAA,-0.0135089075,-1.2578069,0.4476523,0.09458954,0.5010941,0.8222054,-0.75318396,0.33238196,0.7334132,-0.43308386,0.17544623,-1.0799307,0.26383412,-0.36699802,-0.3269189,-0.743423,-0.3731398,-0.5480039,-0.31392333,-0.06838326,0.8597207,-0.26173398,1.0301107,0.41039005,-0.11308411,-0.32865494,-0.02713335,0.26312608,-1.1037852,0.5258288,-1.4588481,-0.44512942
IND000000AAS,-0.06132509,0.4957163,-0.3303224,-0.34038073,-0.08165864,-0.057198424,0.15405913,-0.034172595,-0.015260965,-0.0021003783,0.2801337,-0.04421258,0.059933044,0.2140967,-0.1538624,0.011062909,0.13485153,0.23691443,0.33555344,-0.16422033,-0.23121935,0.22344899,-0.36308235,-0.032239944,0.21965119,0.17527685,0.19204102,0.049275383,-0.03658276,-0.35551754,0.5057503,0.11682841
IND783370AAC,0.017202847,0.27650243,-0.28601,-0.36445028,-0.10124687,-0.15190211,0.07813139,0.050867934,-0.06613743,-0.017697476,0.082458176,-0.056439728,0.07574215,0.18884036,-0.30033723,0.081376925,0.107778944,0.18523201,0.29713526,-0.21400943,-0.18470812,0.19343854,-0.07649545,-0.05640041,0.23804773,0.10911955,0.15499893,-0.0030350164,-0.17597133,-0.2996562,0.2982304,-0.033900887
IND000000AAZ,-0.019654296,0.27141765,0.0031995997,-0.08765276,0.020326741,0.069134355,-0.052106433,-0.17998974,0.39846244,-0.020551652,0.37195188,-0.3504763,0.1956582,0.084938586,-0.1128677,0.019599278,0.105059385,0.3291307,-0.0003755167,-0.17295483,0.09800732,0.24360314,-0.2793181,0.135386,0.1785971,0.06022975,-0.021981463,0.13944404,0.051208973,0.076046504,-0.04473041,0.060651697
IND444203AAA,0.07370886,0.5835894,0.0030495152,0.21731183,-0.30376402,0.017504655,-0.09876129,0.03931783,0.5746324,-0.29805112,0.13097323,-0.026170209,-0.1206319,0.29282936,-0.2486117,-0.042168885,-0.22285631,0.28916857,-0.47446203,-0.018174097,0.17436302,0.42878324,-0.40020147,0.10229266,-0.2896693,0.21249849,-0.30980766,-0.0058362186,0.28535968,0.16129509,-0.2032872,0.20762153
IND444303AAA,-0.03067629,0.5715126,0.019406661,0.16498968,-0.40694705,-0.044112697,-0.10873924,-0.2183598,0.36392054,-0.07411447,-0.01273109,0.013898075,-0.11758754,0.30896676,-0.014786512,0.10414703,-0.23986939,0.2691568,-0.29997692,0.0076777153,0.11126209,0.4640366,-0.56201714,0.091724455,-0.14374283,0.15412128,-0.28580678,-0.020507798,0.26760906,0.18673342,0.007403344,0.30526462
IND000000ABA,-0.10895696,0.28958166,0.18218762,0.15165117,0.10331683,0.053593718,-0.08316375,-0.38696355,0.1398852,-0.011542998,0.0027290247,-0.42685896,-0.0070447624,-0.31091946,-0.13708931,-0.16475484,-0.09906186,-0.026836464,-0.28298256,0.27746567,0.03066558,-0.120550305,-0.3625747,0.15783396,-0.12630822,-0.09745573,-0.05556182,0.08737382,-0.32919538,0.2844773,-0.05736607,-0.17902787
IND683565AAA,0.21251267,0.1517373,0.19292364,0.107308924,0.14165118,0.21188816,-0.1882808,-0.08905597,0.17493956,-0.2158422,0.07683425,-0.119908035,0.042919576,-0.28633672,-0.27445078,-0.22220872,-0.06356706,-0.11957857,-0.17745791,0.31980535,0.33384675,-0.123998344,-0.34147516,0.07208685,-0.23814201,-0.02225884,-0.22074328,-0.08768608,0.051420167,0.3972614,-0.1301576,0.03331241
IND000000ABD,-0.009468838,-0.4953783,-0.082129955,-0.028454646,0.09884259,0.28075224,-0.043652434,0.18382056,0.07342544,0.032800227,0.26488855,-0.39266896,-0.1499769,-9.615719e-05,0.0021108836,-0.12351324,-0.14852878,-0.015016481,0.007451266,-0.24153005,0.227434,0.06280021,0.4194264,0.10459796,0.36811307,-0.28442103,0.025204243,0.23649901,-0.87553716,-0.16714725,0.044141218,-0.1896837
IND562132AAA,-0.32179394,-0.6855968,0.5223963,0.55373186,0.008705653,0.9065968,-0.7204399,-0.5992871,0.5421994,-1.1335008,0.3806244,-1.3388927,-0.06349432,-1.4454466,0.47924358,-1.2163205,-0.5474386,-0.8789458,-0.68408656,0.45455724,0.591806,-0.8573707,0.8462128,0.17212191,0.44107267,-0.7291279,0.09201199,-0.25716338,-1.7843066,0.36274117,-0.8624261,-0.7809019
IND000000ABG,-0.078505255,-0.117030606,-0.092597246,0.20060821,0.10311725,-0.12151543,0.039508596,-0.026582412,-0.32816872,0.24715662,-0.22366482,0.26581278,0.020701312,-0.062118888,0.34142604,-0.029280443,0.051452674,0.08498075,0.40626445,0.091673665,-0.28784716,-0.14621162,-0.029776022,-0.052429795,-0.050794348,0.14874947,0.06285745,-0.11029804,0.7065565,0.079368845,0.11159907,0.024608877
IND501359AAF,0.11642386,-0.49904472,-0.1648367,-0.16271289,-0.17641637,-0.37619382,0.22219318,-0.1323516,-0.6420101,0.23517516,-0.41579708,0.28872365,0.041570827,-0.27897593,0.124387905,0.07519497,0.029955685,-0.13851732,0.1758931,0.3583162,-0.2977658,-0.22539932,-0.11930569,-0.072005,-0.08035513,0.19466043,0.21491358,-0.30250987,0.69192266,-0.026440967,-0.14554709,-0.082498826
IND000000ACA,0.08275545,-0.6210244,0.34673974,0.009789452,0.32882768,0.4017866,-0.28120175,0.45919266,0.70881224,-0.03222194,0.17030588,-0.5322417,0.30791092,0.27533773,-0.555657,-0.022464916,-0.123711765,0.034486495,-0.02127771,-0.05180365,0.75256157,0.21109748,0.9049664,-0.0031959303,-0.23390993,-0.1351396,-0.26465753,0.38675407,-0.52867174,0.45065212,-0.77450144,-0.3859262
IND140406AAA,0.015698262,-0.4214298,0.14674851,0.024600245,0.09487932,0.053193077,0.030369928,0.5452818,0.0983396,0.024073316,0.11286564,-0.061660707,0.2995196,0.04292871,-0.4222198,-0.14161606,0.123387314,0.03266391,0.06311106,-0.029445909,0.0881308,-0.06915258,0.39860505,-0.16729164,-0.29927632,-0.105836265,-0.16398853,0.007366948,0.2117568,0.27860653,-0.46636084,-0.051872768
IND142001AAB,-0.08847306,-0.70241505,0.3174033,0.28550854,-0.10246416,0.09653054,-0.10746204,0.5286097,0.18830416,0.29821393,0.011158249,-0.061191045,0.16955435,-0.002957806,0.17095633,-0.09902723,0.1505716,-0.1539163,0.32962054,-0.023028709,0.17328705,-0.049431253,0.027543142,-0.21194142,-0.26751766,-0.33826125,-0.20657691,-0.061131813,-0.09089784,0.35470557,-0.5024642,-0.010898456
