hub_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
IND000000AAL,-0.38313252,-0.27194217,-0.19869794,-0.10706621,1.3421865,-0.52382165,0.6935071,0.4846175,-0.11222149,0.21355705,0.29297724,0.018367436,-0.2660812,-0.44965976,0.1621776,-0.10435851,-0.21084502,0.76043034,-0.17693442,0.8311442,-0.21258827,0.5709188,0.9449378,-0.24372223,0.91968864,0.4583963,0.01398151,-0.7553321,-0.043948915,-0.8728214,-0.32175365,0.6504448
IND411033AAA,-0.31645322,-0.37859628,-0.25746474,-0.143773,1.1846433,-0.48392025,0.6168826,0.51732165,-0.15437832,0.2018513,0.27618062,0.09933102,-0.18421085,-0.4373031,0.067405134,-0.09235021,-0.11027687,0.6335871,-0.0733601,0.739384,-0.13685274,0.5817056,0.7803525,-0.17177524,0.72996545,0.38412282,0.035162088,-0.5736667,-0.0757203,-0.820048,-0.2813988,0.42113572
IND000000AAS,-1.0710186,-0.8116118,0.027732864,1.9112339,-1.2617892,-1.5224993,0.42692685,-0.44485876,-0.4525189,2.2304327,0.4025076,-0.38741153,-1.1453581,-0.31077605,1.3385806,0.7964936,-0.1719765,-0.08137196,-0.12835497,0.46503118,0.5290019,2.0137308,0.84700936,-1.3766706,0.43950927,1.2305092,-0.41331458,0.05953194,0.4102186,-0.23393771,0.51986456,-0.59276754
IND783370AAC,-1.2952573,-0.74747103,-0.2161743,2.115512,-1.2772866,-1.476248,0.62857664,-0.39085537,-0.5281752,2.3321922,0.19972587,-0.67629015,-0.97638637,-0.45466742,1.3393068,0.6741929,-0.14707176,-0.0025011683,-0.023994863,0.3766297,0.5072344,2.2236195,0.9361001,-1.1586647,-0.14578545,1.1617874,-0.49913684,0.10890792,0.5809678,-0.5643985,0.6041135,-0.57522684
IND000000AAZ,-0.61386395,-1.0911822,0.52842945,-0.9002748,0.58403325,0.36021966,1.5111972,-0.619535,-0.16784276,1.7998098,-0.68730193,-1.8724799,0.21208432,-0.14554566,0.5586706,-0.2456087,-0.88876814,1.3678952,0.2286027,0.9262306,-0.01792486,0.9480819,0.14114685,-0.32980722,0.28227505,-0.39857516,-0.6815871,-1.2138913,-0.564866,-0.39336652,-0.16905412,0.249815
IND444203AAA,-0.5662289,-1.264204,0.5245353,-1.1619159,0.48787028,-0.05306197,1.3163979,-0.5376796,-0.23285694,1.7324657,-0.80530787,-1.8134569,0.33069685,-0.27934936,0.4703562,-0.23861535,-0.5558806,1.3150077,0.6146092,1.1820893,-0.15638727,0.759445,0.095744506,-0.14737386,0.3375557,-0.29368073,-0.77910143,-0.9870547,-0.5718097,-0.23285213,-0.07256059,0.30172893
IND444303AAA,-0.56221753,-1.4193108,0.48246065,-1.1414831,0.698317,-0.049886778,1.2855911,-0.67515767,0.19350103,1.8870686,-0.8624903,-1.9922116,0.16092983,-0.21935493,0.6703739,-0.09906833,-0.8666984,1.4016618,0.39573866,1.0944508,-0.05729885,0.90755683,0.18373854,-0.35860863,0.53269136,-0.1959681,-0.80910736,-1.11535,-1.1686152,-0.16031864,0.021710414,0.22648315
IND000000ABA,-0.8104405,-0.6438839,-0.24033529,-0.19292314,-0.002219856,-0.8272614,1.1713644,-1.1257389,0.18027571,0.40065533,-0.6789048,-0.97088367,-1.345477,0.34763396,0.034897894,-0.01598311,0.49855283,0.3905807,0.5554167,0.7876444,-0.87008286,1.5909208,1.020974,-0.35273466,0.5731004,-0.49882123,-0.35651848,1.3330376,0.6722639,-1.2086076,0.98687655,-0.44430083
IND683565AAA,-0.83111507,-0.8852986,-0.16462082,-0.11727617,0.19346686,-0.8088618,1.0066375,-0.9648132,0.40954408,0.24938513,-0.71611744,-0.648632,-1.255329,0.12631382,0.030013671,0.13721122,0.6063828,0.021595974,0.49338487,0.6467442,-0.48743156,1.5768548,1.0599408,-0.22388548,0.5400255,-0.5686843,-0.488672,1.2953281,0.5499956,-1.2878773,0.9590821,-0.48145556
IND000000ABD,-0.23748375,-0.63697416,0.61505705,-0.2650245,0.011105552,-0.16023733,0.77301323,-0.044141315,0.28316087,-0.13132557,0.12715666,-0.7921417,-0.7145579,-0.63384646,-0.30720183,-0.58821356,0.11438939,0.5925348,0.27763128,0.5459727,-0.25569224,0.6774662,1.1491221,-0.39238667,0.9677677,-0.69281167,-0.48273346,0.62843424,0.32288334,-0.76260495,0.19652434,-0.5901474
IND562132AAA,-0.07612321,-0.117541835,0.18196012,-0.27602926,0.05642938,-0.24830875,0.19571744,0.176467,-0.15177856,-0.052206576,0.21660207,-0.33577895,-0.50618935,-0.25727397,-0.124158956,-0.8801586,-0.18768123,-0.029438531,0.11474749,0.5982848,-0.09489607,0.6861936,0.9381297,-0.3891949,0.82717806,-0.35963342,-0.30327073,0.36677703,0.020317696,-0.69920707,0.14446716,-0.08567707
IND000000ABG,-0.0781421,-0.33105564,0.65916514,-0.16276208,-0.39760068,-0.52670294,0.8809612,0.28134185,0.4918517,2.082013,-1.0180113,-0.8615571,-0.32257047,0.7377996,1.1080832,1.1260532,1.200688,-0.7298218,-0.09739454,1.9169204,0.6494283,2.2300751,0.5187936,-0.1638454,-0.72331357,0.6659163,0.61936957,1.0615526,0.5904453,-1.0696839,0.6940587,1.6122359
IND501359AAF,-0.09337394,-0.3544923,1.0136079,-0.31803524,-0.17663628,-0.5130074,1.0466491,-0.07263895,0.5017017,2.255721,-1.0322515,-0.92198133,-0.4631767,0.7539608,1.0782099,1.3649551,1.369192,-0.8214309,-0.13644888,2.0600715,0.69237137,2.0916445,0.16921516,-0.122347906,-0.5772056,0.70704633,0.4459371,1.1895977,0.5238488,-1.0814468,0.86410785,1.9589237
IND000000ACA,-0.09186525,-0.48936036,0.37233144,0.40932065,-0.2716,1.0813038,-0.48518705,0.27137646,-0.30185574,0.99315315,0.031004986,-1.7281674,0.02269848,0.10526276,0.3302263,0.086442344,1.063034,0.60541314,-0.7863003,0.8444628,1.0597527,1.0696809,0.47862825,0.26663175,0.4494337,0.8567953,-0.8872918,0.31907943,0.05908316,-1.1577085,0.56060517,0.021546902
IND140406AAA,-0.2918883,-0.8817818,0.2729978,0.29949287,-0.24483222,1.2281848,-0.3256393,-0.055439558,-0.1683218,0.8831414,-0.055106614,-1.7643594,0.36643666,0.032508202,-0.001136511,-0.1430955,1.0084933,0.9969198,-0.9760419,1.1541166,1.0464694,1.0766732,0.3424465,0.1629066,0.41301084,0.8886902,-1.2745899,0.06250066,0.54495734,-1.4706451,0.76955074,-0.3459201
IND142001AAB,0.10927072,-0.42412475,0.40672293,0.31183988,0.02977358,0.8800677,-0.94337773,-0.25730866,-0.7937977,0.6205439,0.080192566,-1.3248318,0.10514831,0.3893611,-0.16502544,0.047491472,0.9117281,0.3864979,-0.44044104,0.6791602,0.8505132,1.1847781,0.5639647,-0.27041468,0.7734211,0.6360066,-0.6607641,0.21190928,0.23365049,-0.9943732,0.39982605,0.14585048
IND142401AAA,-0.2509829,-0.76341474,0.30271953,0.31649867,-0.3427382,1.3662682,-0.20894869,0.033563297,-0.13935465,0.9496333,0.016706266,-1.8603472,0.30223808,0.0032094854,-0.15694076,-0.23733364,0.7902597,1.0989033,-1.0663328,1.1102358,1.0637876,1.1293368,0.1804321,0.038196992,0.32148093,0.74383926,-1.2618598,0.37057364,0.35866997,-1.5880913,0.8554816,-0.37298143
IND143001AAA,-0.41794503,-0.8130574,0.54545456,0.25275266,0.033882108,0.9644037,-0.48958766,0.4834667,-0.29845017,0.71073735,-0.36597896,-1.3282894,-0.03973801,0.19122459,-0.052817985,-0.24294443,0.7967225,0.40239558,-0.80041856,0.5847809,0.80661577,0.51641816,0.7954038,-0.038116034,0.82381904,0.91246986,-0.707906,0.41781995,0.1541255,-0.7519943,0.43465683,-0.28689167
IND144001AAB,-0.49513337,-1.1054537,0.37551957,0.25489154,-0.22693329,1.035915,-0.33475044,0.46711692,-0.48014647,0.6967888,-0.5521196,-1.2662513,-0.66203094,0.03342566,0.12644865,-0.11683687,0.91464233,0.36303067,-1.2938203,0.5930356,0.90557086,0.42297807,1.012788,-0.07943467,1.0629208,1.0029945,-0.58523476,0.49923414,0.25499585,-0.854585,0.52328545,0.017577447
IND144514AAA,-0.43078235,-0.8248897,-0.09749772,0.4418499,-0.4460843,1.0601637,-0.5959435,0.7032521,-0.5173495,1.3113108,-0.07945901,-1.3148403,0.14002213,0.11924368,0.21198481,0.5102223,1.2440963,0.945316,-0.49140787,0.7806952,0.6071226,1.4803209,0.7110188,0.03933581,0.29441747,1.0660183,-1.3434008,0.31178945,0.36597204,-1.4926027,0.38540944,-0.23211615
IND147301AAA,-0.24710909,-0.8484477,0.3707153,0.37515792,-0.29152033,1.2302686,-0.28323418,-0.033158388,-0.17462572,0.9240602,-0.043589033,-1.811184,0.20924816,0.096675925,0.10833536,-0.124382764,1.1308817,1.176442,-0.85362756,0.9973708,0.94603777,1.0682226,0.22810897,-0.02588011,0.30715162,0.8733912,-1.220058,0.11821641,0.5857283,-1.3592658,0.8635178,-0.49547172
IND152026AAA,0.27734742,-0.51077056,0.40987742,0.24663828,-0.05256605,0.9248228,-0.7411965,-0.3689336,-0.8291368,0.577466,0.03711474,-1.2997049,-0.22062473,0.64292246,-0.44253045,0.0061375625,1.0153472,0.38985315,-0.33886677,0.8171647,0.9590384,1.1968356,0.5995498,-0.058445454,0.68986344,0.8330784,-0.73270816,0.13818039,0.19075902,-1.0770471,0.6377057,0.36296806
IND160002AAC,0.3305106,-0.36542112,0.38221183,0.5900736,0.17258227,0.7560436,-0.312205,0.08730806,-0.42641157,0.86212003,-0.35738528,-1.1509027,0.013232808,0.09609683,-0.60271555,-0.38685113,0.6435354,0.041343648,-0.46559352,0.7834837,0.07514864,0.6492277,0.5965186,-0.12813573,1.1440076,0.5823785,-0.3937921,0.5274922,0.21188895,-0.47735918,0.06779893,0.22473203
