hub_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
IND000000AAL,-0.22858882,-1.4787304,2.5071783,1.8601217,3.6305096,-0.16990742,1.8888555,0.28996405,1.1251595,0.65913606,-0.5901413,-0.6935975,-0.42587745,0.5332495,0.4378928,1.1121676,-0.2257778,-3.107541,1.2197757,-0.41954157,-0.34323257,0.3795304,0.8217405,0.063352585,2.1322744,1.2785211,0.051157057,-2.621551,1.1915976,-1.2671199,-0.0766087,-0.6177894
IND411033AAA,0.188168,0.57883394,1.9462298,1.5834026,3.694952,0.3758107,1.5429223,0.9140716,0.6974483,0.56166685,-1.1814245,-3.5163114,-0.95714986,1.5848426,-0.15348057,1.8698158,-0.5130458,-3.151459,0.32827199,-0.6024163,-1.2979171,0.17034318,1.3617383,-0.17305022,0.5565616,1.528279,1.3821774,-1.5649254,1.4057302,-0.17310083,0.64161426,-0.37545437
IND000000AAS,-0.12116213,-0.17871112,-0.1506078,0.12218367,-0.123826824,0.16035017,0.12854877,-0.16854134,-0.014273129,0.20723623,0.35420743,0.15813589,0.096650876,0.19122984,-0.07787235,-0.15154868,-0.068316855,-0.081549846,0.09623941,0.15997517,-0.0073845163,0.15362975,-0.15443502,0.014426045,0.04232815,0.13385761,0.022638857,0.28690162,-0.33470315,-0.046621613,-0.15602258,0.0027177408
IND783370AAC,-0.15099768,-0.13858232,-0.17440759,0.09270654,-0.1032604,0.121090785,0.13638645,-0.10213046,0.03177829,0.1665438,0.34151804,0.036731064,0.12766159,0.24622725,-0.015452732,-0.14844245,-0.0011409968,-0.14964822,0.03929756,0.12234084,-0.0131145045,0.14705142,-0.12851633,-0.022070616,0.079838105,0.09644742,0.061064385,0.29220185,-0.34191468,-0.08613399,-0.14265804,0.009298403
IND000000AAZ,-0.2838284,-0.15340635,-0.13211294,0.3094287,0.12545505,0.24896371,-0.10547274,0.20974946,-0.31626385,-0.04998271,-0.10401473,-0.49256957,-0.13249424,0.049567863,0.05840611,0.20340294,-0.5093332,-0.30611277,0.096310854,0.07770309,-0.04793252,0.089462385,0.293055,-0.36068648,0.3265279,0.57241386,-0.30787423,0.09920265,-0.5906788,-0.10248693,-0.19458428,-0.27279535
IND444203AAA,-0.20153084,0.05433911,0.03219603,0.10751952,-0.27102435,0.34306568,-0.008665323,-0.12652363,0.27905357,0.283179,0.06191507,-0.30291986,0.05080934,0.39503914,0.009413995,0.14098658,0.00961335,0.052349243,0.03404101,0.14866515,-0.020033479,0.2221415,-0.16830546,-0.31281692,0.1818857,-0.16206515,-0.13450561,-0.22890815,-0.1831575,0.1490472,-0.02371842,-0.14314511
IND444303AAA,-0.82480067,0.6324428,0.16354068,0.28521192,-0.73830384,0.7517989,-0.17321655,0.23321947,0.43763947,-0.22631039,-0.17108893,-0.85489404,0.3133039,0.55730087,0.39256698,0.5449436,-0.37685037,-0.30938828,-0.004234016,0.5344983,0.29449737,0.5000871,-0.5172822,-0.53992206,0.69027865,-0.52665764,-0.37965626,0.29749635,-0.7149922,-0.33509502,0.09136346,-0.2784141
IND000000ABA,-0.061357915,-0.6296628,0.8057318,0.44207138,1.2798824,-0.07950073,0.78439784,0.22907645,0.06078738,-0.16904932,-0.08380852,-0.49116373,-0.5783794,0.00793097,-0.039021846,0.5480913,-0.18474281,-0.61455524,0.26127377,-0.33633024,-0.24888277,-0.25981295,0.2114675,-0.4118154,0.254605,0.50393397,-0.09060828,-0.6675116,-0.111596584,0.109903984,0.06514819,0.09032138
IND683565AAA,0.4509154,-0.12092717,-0.42710835,0.14331363,0.23194444,0.2679535,0.26149392,-0.04089621,-0.24468553,0.0022146553,-0.19098473,-0.236586,-0.1531482,-0.2666343,0.28376275,-0.323529,-0.32199594,0.028478436,-0.47774303,-0.42591745,-0.3703319,-0.2106142,0.28768343,-0.21068309,0.09859945,0.30756366,0.102200404,-0.4011038,0.16328228,0.24642535,-0.22313592,0.07276234
IND000000ABD,-0.22485946,0.20246832,0.024373231,-0.0050826482,-0.12991215,0.1852753,0.030455112,-0.029415375,-0.3368743,0.18032086,-0.1353143,-0.09140563,-0.16577156,0.19505946,-0.08717648,-0.35315105,-0.24890044,0.02535934,0.030456666,0.10183658,0.1406061,0.033445433,-0.046054788,-0.037633337,0.19875734,0.26697895,-0.14489564,0.32960534,-0.31073186,-0.18072931,-0.30396938,-0.114397965
